Date,MSCI USA Prime Value Index
2018-05-16,8693.737951
2018-05-17,8703.402383
2018-05-18,8669.441078
2018-05-21,8734.012568
2018-05-22,8700.719766
2018-05-23,8699.558805
2018-05-24,8673.796655
2018-05-25,8657.793495
2018-05-28,8657.793495
2018-05-29,8548.458309
2018-05-30,8663.689361
2018-05-31,8566.859106
2018-06-01,8654.948666
2018-06-04,8694.822483
2018-06-05,8699.038181
2018-06-06,8790.21462
2018-06-07,8802.302466
2018-06-08,8827.490681
2018-06-11,8840.080073
2018-06-12,8836.456754
2018-06-13,8827.148376
2018-06-14,8843.860185
2018-06-15,8849.596329
2018-06-18,8788.360438
2018-06-19,8769.009527
2018-06-20,8775.09027
2018-06-21,8728.594906
2018-06-22,8767.325963
2018-06-25,8672.230636
2018-06-26,8654.325416
2018-06-27,8593.7168
2018-06-28,8582.648974
2018-06-29,8585.967306
2018-07-02,8596.236221
2018-07-03,8568.483569
2018-07-04,8568.483569
2018-07-05,8637.056367
2018-07-06,8696.070214
2018-07-09,8797.74521
2018-07-10,8825.394483
2018-07-11,8748.490716
2018-07-12,8810.410366
2018-07-13,8834.258469
2018-07-16,8818.457136
2018-07-17,8820.896408
2018-07-18,8868.982602
2018-07-19,8861.95754
2018-07-20,8822.777195
2018-07-23,8842.105804
2018-07-24,8844.892121
2018-07-25,8904.591149
2018-07-26,8964.123638
2018-07-27,8908.913409
2018-07-30,8912.803859
2018-07-31,8947.459104
2018-08-01,8904.659342
2018-08-02,8936.95499
2018-08-03,9007.490126
2018-08-06,9035.91146
2018-08-07,9074.713488
2018-08-08,9073.892613
2018-08-09,9074.931284
2018-08-10,9022.777787
2018-08-13,8989.361609
2018-08-14,9061.863762
2018-08-15,8996.249825
2018-08-16,9109.390538
2018-08-17,9153.841226
2018-08-20,9176.909518
2018-08-21,9210.786316
2018-08-22,9192.333241
2018-08-23,9173.845894
2018-08-24,9215.935008
2018-08-27,9272.583937
2018-08-28,9282.327075
2018-08-29,9307.457332
2018-08-30,9264.827651
2018-08-31,9282.194056
2018-09-03,9282.194056
2018-09-04,9265.951195
2018-09-05,9292.144885
2018-09-06,9270.778669
