Date,MSCI USA Value Exposure Select Index
2013-04-01,2814.665548
2013-04-02,2821.566132
2013-04-03,2791.036341
2013-04-04,2807.609771
2013-04-05,2801.200279
2013-04-08,2815.891088
2013-04-09,2835.704599
2013-04-10,2870.728206
2013-04-11,2878.050246
2013-04-12,2865.553811
2013-04-15,2798.800509
2013-04-16,2839.82296
2013-04-17,2800.005544
2013-04-18,2781.626267
2013-04-19,2812.631938
2013-04-22,2825.49208
2013-04-23,2859.001463
2013-04-24,2883.088856
2013-04-25,2893.174899
2013-04-26,2884.368292
2013-04-29,2908.860594
2013-04-30,2913.695754
2013-05-01,2884.606659
2013-05-02,2915.442546
2013-05-03,2943.910823
2013-05-06,2953.750117
2013-05-07,2967.348414
2013-05-08,2981.293383
2013-05-09,2963.944885
2013-05-10,2978.928113
2013-05-13,2977.331067
2013-05-14,3017.429664
2013-05-15,3033.046054
2013-05-16,3026.528152
2013-05-17,3065.947625
2013-05-20,3065.584138
2013-05-21,3062.564401
2013-05-22,3035.368142
2013-05-23,3040.8641
2013-05-24,3032.206215
2013-05-27,3032.206215
2013-05-28,3060.879166
2013-05-29,3053.958662
2013-05-30,3072.976193
2013-05-31,3024.163659
2013-06-03,3048.257841
2013-06-04,3031.681841
2013-06-05,2991.340341
2013-06-06,3020.601192
2013-06-07,3060.703021
2013-06-10,3066.459527
2013-06-11,3036.294965
2013-06-12,3020.095187
2013-06-13,3066.559581
2013-06-14,3047.710628
2013-06-17,3068.45736
2013-06-18,3093.236189
2013-06-19,3057.804235
2013-06-20,2985.169474
2013-06-21,2980.963665
2013-06-24,2937.792138
2013-06-25,2965.123311
2013-06-26,2993.643358
2013-06-27,3021.603537
2013-06-28,3008.162067
2013-07-01,3023.708312
2013-07-02,3015.7039
2013-07-03,3014.319734
2013-07-04,3014.319734
